		A2058_1	A2058_2	A2058_3	Skmel_1	Skmel_2	A431_1	A431_2	A431_3	SCC9_1	SCC9_2	HEK_2	HEK_3	HaCaT_1	HaCaT_2	HaCaT_3
		melanoma	melanoma	melanoma	melanoma	melanoma	carcinoma	carcinoma	carcinoma	carcinoma	carcinoma	normal	normal	normal	normal	normal
EFNA1	IPI00025840_EFNA1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.20	0.00	0.00
USP7	IPI00003965_USP7	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.18
KPNA4	IPI00012578_KPNA4	2.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
CACHD1	IPI00289083_CACHD1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.64	6.12	0.00	0.00	0.00
EDF1	IPI00006362_EDF1	0.00	0.00	2.67	0.00	0.00	0.00	0.00	0.00	6.59	0.00	0.00	0.00	5.25	2.45	0.00
TJP2	IPI00003843_TJP2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.63	0.00	0.00	0.00	0.00	3.67	3.26
KIAA0368	IPI00157790_KIAA0368	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.72
RPRD1B	IPI00009659_RPRD1B	0.00	0.00	0.00	0.00	0.00	0.00	2.01	0.00	0.00	4.12	0.00	0.00	0.00	0.00	2.18
LACTB2	IPI00006952_LACTB2	0.00	0.00	0.00	0.00	0.00	0.00	2.01	0.00	3.95	4.12	0.00	0.00	0.00	0.00	0.00
EIF4H	IPI00014263_EIF4H	0.00	2.56	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.43	6.18	3.06	0.00	0.00	0.00
HLA-C	IPI00940896_HLA-C	16.85	15.38	18.66	8.87	10.44	21.46	27.13	18.64	3.95	8.92	4.64	3.06	7.35	7.34	7.62
LIMA1	IPI00008918_LIMA1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.67	3.81
PPL	IPI00298057_PPL	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.10	0.00	3.26
MAGEA4	IPI00910524_MAGEA4	0.00	0.00	0.00	0.00	0.00	11.55	4.02	7.46	0.00	0.00	0.00	0.00	0.00	0.00	0.00
MARCKSL1	IPI00641181_MARCKSL1	0.00	4.27	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ITGA3	IPI01012463_ITGA3	0.00	0.00	3.55	0.00	0.00	0.00	4.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
MAN1B1	IPI00008207_MAN1B1	0.00	0.00	0.00	0.00	2.32	0.00	0.00	0.00	0.00	0.00	0.00	3.06	0.00	0.00	0.00
PTGES3	IPI00015029_PTGES3	0.00	0.00	0.00	0.00	0.00	0.00	2.01	0.00	0.00	2.75	0.00	0.00	0.00	0.00	3.26
TCEB2	IPI00026670_TCEB2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.43	0.00	0.00	0.00	0.00	3.26
LPHN1	IPI00183445_LPHN1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.64	6.12	0.00	0.00	0.00
RPS7	IPI00013415_RPS7	2.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.18
PCNP	IPI00790305_PCNP	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.06	3.09	3.06	3.15	0.00	2.72
HADH	IPI00298406_HADH	0.00	0.00	0.00	0.00	0.00	0.00	3.01	0.00	0.00	5.49	0.00	0.00	0.00	0.00	0.00
ERAP1	IPI00165949_ERAP1	0.00	0.00	0.00	0.00	5.80	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
SGCE	IPI00973162_SGCE	2.25	3.42	0.00	5.92	3.48	0.00	0.00	0.00	0.00	0.00	0.00	3.06	0.00	0.00	0.00
ARPC2	IPI00005161_ARPC2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.26
SEMA7A	IPI00025257_SEMA7A	0.00	0.00	0.00	8.87	8.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ARPC3	IPI00005162_ARPC3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.75	0.00	0.00	0.00	0.00	0.00
DNAJC9	IPI00154975_DNAJC9	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.09	0.00	2.10	0.00	0.00
CCDC129	IPI00879966_CCDC129	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
GVINP1	IPI00854845_GVINP1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
EPHA1	IPI00294250_EPHA1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.20	3.06	3.81
GRTP1	IPI00791131_GRTP1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
RPL7	IPI00030179_RPL7	3.37	0.00	0.00	0.00	0.00	0.00	3.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
RPS27A	IPI00179330_RPS27A	2.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.06	0.00	0.00	0.00
LRRFIP1	IPI00785113_LRRFIP1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.18
DDX21	IPI00015953_DDX21	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.80	0.00	2.06	0.00	3.06	0.00	2.45	2.18
LAMA5	IPI00477868_LAMA5	0.00	5.13	2.67	0.00	0.00	11.55	25.12	19.57	13.17	9.61	4.64	4.59	22.05	10.39	5.98
RPS17	IPI00221093_RPS17	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.75	4.64	0.00	0.00	2.45	2.72
ADAMTSL4	IPI00896415_ADAMTSL4	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.12	0.00	0.00	0.00	0.00	0.00
SEPHS1	IPI00029056_SEPHS1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.18
HSPA13	IPI00299299_HSPA13	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	10.82	9.18	0.00	0.00	0.00
IDE	IPI00220373_IDE	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.67	0.00
SMAP	IPI00003419_SMAP	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.95	2.75	0.00	3.06	0.00	3.06	3.26
EIF3M	IPI00102069_EIF3M	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.43	0.00	0.00	0.00	3.06	2.18
IRF6	IPI00024290_IRF6	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.89	6.53
LIPG	IPI00005686_LIPG	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.20	4.89	4.90
STAT1	IPI00030781_STAT1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	10.30	0.00	0.00	0.00	0.00	0.00
CRIP1	IPI00215611_CRIP1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.15	0.00	0.00
ABCA10	IPI00384874_ABCA10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.63	0.00	0.00	3.06	0.00	0.00	0.00
PRMT5	IPI00064328_PRMT5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.09	0.00	0.00	0.00	0.00
RPL19	IPI00025329_RPL19	0.00	2.56	2.67	0.00	0.00	3.30	0.00	0.00	2.63	0.00	3.09	0.00	0.00	0.00	0.00
DCBLD2	IPI00419836_DCBLD2	0.00	0.00	0.00	4.44	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
CRYZ	IPI00000792_CRYZ	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.15	2.45	0.00
TCN2	IPI00219465_TCN2	0.00	2.56	3.55	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
TLL2	IPI00465231_TLL2	0.00	0.00	2.67	0.00	2.32	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.25	0.00	0.00
NDRG1	IPI01019118_NDRG1	0.00	0.00	0.00	0.00	3.48	4.95	4.02	0.00	0.00	4.12	0.00	0.00	0.00	0.00	0.00
DHX15	IPI00396435_DHX15	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.75	0.00	0.00	0.00	0.00	0.00
FEN1	IPI00026215_FEN1	0.00	2.56	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.75	0.00	6.12	0.00	0.00	0.00
COL19A1	IPI00019090_COL19A1	0.00	2.56	0.00	0.00	5.80	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
RBP4	IPI00022420_RBP4	0.00	0.00	0.00	2.96	0.00	4.95	0.00	0.00	0.00	0.00	3.09	3.06	0.00	0.00	0.00
SEC14L2	IPI00018314_SEC14L2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.43	0.00	0.00	2.10	2.45	0.00
CDA	IPI00027983_CDA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.90	7.55	0.00	0.00	0.00	0.00	0.00
HMGN1	IPI00554761_HMGN1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
PTMS	IPI00550020_PTMS	0.00	0.00	0.00	0.00	3.48	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
PFN2	IPI00107555_PFN2	0.00	0.00	0.00	0.00	2.32	0.00	2.01	0.00	0.00	0.00	6.18	6.12	0.00	0.00	0.00
ALDH9A1	IPI00479877_ALDH9A1	0.00	0.00	0.00	0.00	0.00	0.00	2.01	4.66	0.00	0.00	0.00	4.59	0.00	0.00	0.00
ROS1	IPI00288965_ROS1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
MX1	IPI00167949_MX1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.43	0.00	0.00	0.00	0.00	0.00
TPP1	IPI00909516_TPP1	0.00	4.27	0.00	0.00	4.64	0.00	2.01	0.00	6.59	6.87	13.91	6.12	5.25	6.73	11.42
GNPNAT1	IPI00061525_GNPNAT1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.63	2.06	0.00	0.00	3.15	0.00	0.00
ACTBL2	IPI00003269_ACTBL2	15.73	10.25	9.77	11.83	4.64	14.86	11.05	8.39	9.22	13.04	9.28	7.65	8.40	9.17	8.16
PSMB8	IPI00000783_PSMB8	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.45	2.18
TMEM132A	IPI00301865_TMEM132A	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.80	0.00	0.00	0.00	0.00	0.00	0.00	0.00
CDC42	IPI00016786_CDC42	3.37	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.95	0.00	0.00	0.00	0.00	2.45	2.72
FUCA1	IPI00843910_FUCA1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.75	0.00	0.00	0.00	0.00	0.00
BUB3	IPI00013468_BUB3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.09	0.00	2.10	2.45	2.72
NT5C2	IPI00029054_NT5C2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.06	3.26
OGFR	IPI00021537_OGFR	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.75	0.00	0.00	0.00	0.00	0.00
EIF4A3	IPI00009328_EIF4A3	3.37	0.00	0.00	2.96	0.00	3.30	0.00	0.00	2.63	4.12	3.09	4.59	3.15	3.06	2.18
MCM2	IPI00184330_MCM2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.45	0.00
EHD1	IPI00853165_EHD1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.12	0.00	0.00	0.00	4.89	3.81
ANXA6	IPI00002459_ANXA6	0.00	0.00	0.00	2.96	5.80	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
AP2A1	IPI00256684_AP2A1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.81	0.00	0.00	0.00	0.00	2.18
HSPA1A	IPI00911039_HSPA1A	29.21	22.22	32.87	7.39	5.80	51.17	35.17	30.76	39.52	26.09	166.97	157.66	46.21	55.64	50.60
APOC2	IPI00021856_APOC2	0.00	0.00	0.00	0.00	9.28	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
LAMP2	IPI00009030_LAMP2	0.00	0.00	0.00	0.00	2.32	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ITIH1	IPI00292530_ITIH1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.09	0.00	0.00	0.00	0.00
SERPINC1	IPI00032179_SERPINC1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
TMEM2	IPI00170706_TMEM2	0.00	0.00	0.00	0.00	2.32	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
NCLN	IPI00470649_NCLN	0.00	0.00	0.00	0.00	0.00	0.00	2.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ADAMTS4	IPI00307276_ADAMTS4	0.00	0.00	0.00	0.00	2.32	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
OSMR	IPI00022674_OSMR	0.00	0.00	3.55	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
PSMD11	IPI00105598_PSMD11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.06	0.00	0.00	0.00
TPP2	IPI00020416_TPP2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.09	0.00	0.00	0.00	2.18
PSPC1	IPI00103525_PSPC1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.06	3.09	0.00	0.00	0.00	0.00
MSR1	IPI00010351_MSR1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
C22ORF28	IPI00550689_C22ORF28	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.18
	IPI01021243_	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.06	0.00	0.00	2.10	3.06	0.00
GFPT2	IPI00216159_GFPT2	0.00	0.00	0.00	8.87	3.48	3.30	2.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FAM20C	IPI00470607_FAM20C	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
MCM4	IPI00795318_MCM4	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.67	2.72
SORT1	IPI00217882_SORT1	0.00	2.56	0.00	0.00	3.48	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
EPHA7	IPI00016645_EPHA7	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.64	9.18	0.00	0.00	0.00
GCNT2	IPI00166086_GCNT2	7.86	0.00	3.55	4.44	2.32	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
SEMA6A	IPI00002211_SEMA6A	0.00	4.27	2.67	0.00	3.48	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FLRT3	IPI00002320_FLRT3	0.00	5.13	3.55	2.96	8.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FBP1	IPI00073772_FBP1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.15	3.06	4.35
F2	IPI00975497_F2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.80	0.00	0.00	0.00	6.12	0.00	0.00	0.00
PTBP2	IPI00254162_PTBP2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.10	0.00	0.00
ACAT1	IPI00030363_ACAT1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.06	0.00	0.00	0.00	0.00	0.00
DKK3	IPI00910436_DKK3	2.25	2.56	4.44	0.00	0.00	0.00	6.03	3.73	0.00	0.00	0.00	0.00	11.55	6.73	7.07
COMP	IPI00910249_COMP	0.00	0.00	0.00	2.96	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
SEMA3D	IPI00028213_SEMA3D	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.18
CHMP4B	IPI00025974_CHMP4B	2.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.63	2.06	3.09	0.00	2.10	3.06	0.00
RPL7A	IPI00299573_RPL7A	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.06	0.00	0.00	0.00	0.00	0.00
STAT3	IPI00306436_STAT3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.75	0.00	0.00	0.00	0.00	2.18
LEPRE1	IPI00045839_LEPRE1	0.00	3.42	0.00	2.96	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
TLR9	IPI00550917_TLR9	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.67	2.72
HIBADH	IPI00013860_HIBADH	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.63	2.06	0.00	0.00	0.00	0.00	0.00
ADSL	IPI00942092_ADSL	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.75	0.00	0.00	0.00	0.00	0.00
HSBP1	IPI00935516_HSBP1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.67	2.18
SDC1	IPI00002441_SDC1	0.00	2.56	0.00	0.00	0.00	0.00	0.00	3.73	0.00	0.00	0.00	0.00	0.00	0.00	2.18
HLA-A	IPI00876963_HLA-A	12.36	5.98	9.77	10.35	9.28	16.51	13.06	12.12	2.63	13.04	4.64	0.00	3.15	4.28	4.35
CBX1	IPI00878669_CBX1	4.49	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.27	4.81	4.64	0.00	2.10	3.06	2.18
UBE2K	IPI00021370_UBE2K	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.18
LYPLA2	IPI00027032_LYPLA2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.43	0.00	0.00	0.00	0.00	0.00
PYCARD	IPI00221360_PYCARD	2.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.45	2.18
GCSH	IPI00011604_GCSH	0.00	0.00	0.00	0.00	0.00	0.00	8.04	3.73	0.00	0.00	0.00	0.00	0.00	0.00	0.00
SFRP1	IPI00749245_SFRP1	0.00	2.56	8.88	2.96	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FSTL3	IPI00955041_FSTL3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.63	0.00	0.00	0.00	0.00	0.00	0.00
EMILIN1	IPI00013079_EMILIN1	0.00	7.69	4.44	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
CALML5	IPI00021536_CALML5	0.00	0.00	0.00	0.00	0.00	0.00	12.06	9.32	0.00	0.00	0.00	0.00	0.00	0.00	0.00
TNFRSF21	IPI00004413_TNFRSF21	0.00	0.00	0.00	0.00	3.48	0.00	5.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
MAP1A	IPI00020356_MAP1A	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
XYLT2	IPI00432723_XYLT2	0.00	0.00	0.00	0.00	0.00	0.00	2.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
PIN4	IPI00006658_PIN4	0.00	0.00	0.00	0.00	0.00	3.30	0.00	0.00	0.00	0.00	4.64	3.06	4.20	0.00	2.18
DYNC1I2	IPI00302712_DYNC1I2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.59	0.00	0.00	0.00	0.00	0.00	0.00
KIF5B	IPI00012837_KIF5B	2.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.26
EPHB2	IPI00644408_EPHB2	0.00	0.00	0.00	0.00	0.00	0.00	2.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
PITRM1	IPI00553109_PITRM1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.12	0.00	0.00	0.00	0.00	0.00
ETF1	IPI00429191_ETF1	2.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
NENF	IPI00002525_NENF	0.00	0.00	0.00	2.96	3.48	0.00	0.00	0.00	2.63	0.00	0.00	0.00	0.00	0.00	0.00
MVP	IPI00000105_MVP	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.63	2.75	0.00	0.00	0.00	0.00	0.00
XPO5	IPI00872800_XPO5	3.37	4.27	2.67	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.10	0.00	0.00
TMOD3	IPI00005087_TMOD3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.27	0.00	0.00	0.00	2.10	0.00	3.81
DNM1L	IPI01010281_DNM1L	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.06	3.26
SF3A2	IPI00017341_SF3A2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.67	2.72
ST14	IPI00001922_ST14	0.00	0.00	0.00	0.00	0.00	0.00	2.01	0.00	0.00	0.00	0.00	0.00	2.10	0.00	2.18
CD14	IPI00029260_CD14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.87	0.00	0.00	0.00	0.00	0.00
API5	IPI00554742_API5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.49	0.00	0.00	0.00	0.00	3.81
DDX42	IPI00409671_DDX42	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.63	4.12	0.00	0.00	0.00	3.67	0.00
PTHLH	IPI00221081_PTHLH	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.72
BLMH	IPI00219575_BLMH	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.09	0.00	0.00	0.00	0.00
RAB1A	IPI00005719_RAB1A	0.00	0.00	0.00	0.00	0.00	0.00	2.01	0.00	3.95	0.00	0.00	0.00	2.10	0.00	0.00
RPS3A	IPI00419880_RPS3A	2.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
CDH7	IPI00297181_CDH7	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
MYF6	IPI00011548_MYF6	0.00	0.00	0.00	0.00	0.00	0.00	2.01	0.00	0.00	0.00	0.00	0.00	4.20	0.00	0.00
SIL1	IPI00964791_SIL1	0.00	0.00	0.00	0.00	2.32	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
UBE2V2	IPI00019600_UBE2V2	5.62	0.00	2.67	0.00	0.00	3.30	0.00	0.00	3.95	3.43	0.00	0.00	4.20	2.45	2.18
LRRC59	IPI00396321_LRRC59	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.63	3.43	0.00	0.00	0.00	0.00	0.00
SAE1	IPI00033130_SAE1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.12	3.09	0.00	0.00	0.00	0.00
UBE2I	IPI00032957_UBE2I	0.00	0.00	0.00	0.00	0.00	3.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.06	2.18
HMGB3	IPI00640781_HMGB3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.95	4.12	0.00	0.00	0.00	0.00	0.00
PSMD3	IPI00011603_PSMD3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.43	0.00	0.00	0.00	3.06	0.00
EIF3D	IPI00006181_EIF3D	0.00	2.56	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.06	0.00	0.00	0.00	3.67	0.00
CILP2	IPI00216780_CILP2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.09	6.12	0.00	0.00	0.00
DKK1	IPI00016353_DKK1	0.00	0.00	0.00	0.00	0.00	3.30	3.01	0.00	0.00	0.00	0.00	0.00	3.15	0.00	2.18
SNRPA	IPI00012382_SNRPA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.06	0.00	3.67	3.81
NPTX1	IPI00220562_NPTX1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	13.91	7.65	0.00	0.00	0.00
ANPEP	IPI00221224_ANPEP	0.00	4.27	7.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
RTN4	IPI00021766_RTN4	0.00	0.00	0.00	0.00	0.00	0.00	4.02	0.00	2.63	2.06	0.00	0.00	0.00	0.00	0.00
SLC4A11	IPI00647652_SLC4A11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
TMSB10	IPI00220827_TMSB10	0.00	0.00	0.00	0.00	0.00	0.00	2.01	0.00	0.00	2.75	0.00	0.00	0.00	0.00	0.00
INSAF	IPI00000661_INSAF	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.09	0.00	0.00	0.00	0.00
KPNA6	IPI00747764_KPNA6	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
